SONY,,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume,Days
2019-03-15,46.209999,46.529999,46.049999,46.25,46.25,848000,268
2019-03-18,46.25,46.279999,45.98,46.080002,46.080002,632800,269
2019-03-19,46.200001,46.330002,45.490002,45.529999,45.529999,2231600,270
2019-03-20,44.040001,44.110001,43.009998,43.279999,43.279999,3729000,271
2019-03-21,43.09,44.119999,43.049999,44.009998,44.009998,1392400,272
2019-03-22,42.73,42.73,42.02,42.029999,42.029999,1579100,273
2019-03-25,42.099998,42.48,41.91,42.150002,42.150002,954900,274
2019-03-26,42.75,43.27,42.48,42.73,42.73,1317800,275
2019-03-27,42.869999,43.060001,42.57,42.790001,42.790001,1696300,276
2019-03-28,42.689999,42.720001,42.16,42.400002,42.400002,978300,277
2019-03-29,42.299999,42.360001,41.98,42.240002,42.240002,908700,278
2019-04-01,42.68,43.02,42.630001,42.98,42.98,1000600,279
2019-04-02,42.310001,42.529999,42.060001,42.169998,42.169998,1325800,280
2019-04-03,42.560001,42.650002,42.349998,42.389999,42.389999,1010500,281
2019-04-04,42.049999,42.639999,42.029999,42.52,42.52,2378400,282
2019-04-05,43.25,43.290001,43.02,43.07,43.07,1212200,283
2019-04-08,43,46.919998,42.959999,46.599998,46.599998,8331100,284
2019-04-09,46.630001,46.799999,45.810001,46.189999,46.189999,4273300,285
2019-04-10,45.860001,46.23,45.860001,46.080002,46.080002,1032100,286
2019-04-11,46.07,46.419998,45.990002,46.25,46.25,1157600,287
2019-04-12,46.860001,47.150002,46.75,46.990002,46.990002,984800,288
2019-04-15,47.029999,47.66,46.93,47.310001,47.310001,1704600,289
2019-04-16,47.889999,48.130001,47.720001,47.950001,47.950001,1066300,290
2019-04-17,48.119999,48.279999,47.57,47.740002,47.740002,2349500,291
2019-04-18,47.779999,48.029999,47.57,47.860001,47.860001,1076300,292
2019-04-22,47.610001,47.66,47.27,47.610001,47.610001,1343600,293
2019-04-23,47.720001,48.41,47.619999,48.299999,48.299999,2081300,294
2019-04-24,46.560001,46.740002,46.389999,46.459999,46.459999,2118900,295
2019-04-25,46.830002,46.880001,46.43,46.66,46.66,1768900,296
2019-04-26,48.349998,50.919998,48.200001,50.240002,50.240002,3853300,297
2019-04-29,49.990002,50.5,49.709999,50.25,50.25,1198100,298
2019-04-30,50.130001,50.549999,50.029999,50.369999,50.369999,1487200,299
2019-05-01,50.389999,51.869999,50.389999,51.360001,51.360001,2185000,300
2019-05-02,51.27,51.759998,51.049999,51.459999,51.459999,1349800,301
2019-05-03,51.630001,52.470001,51.5,52.25,52.25,2705000,302
2019-05-06,51.150002,51.5,50.599998,51.220001,51.220001,2228300,303
2019-05-07,49.009998,49.25,48.610001,48.889999,48.889999,3310700,304
2019-05-08,48.650002,49.080002,48.400002,48.75,48.75,1220400,305
2019-05-09,48.119999,49.110001,48.099998,48.75,48.75,1903300,306
2019-05-10,48.990002,49.860001,48.400002,49.700001,49.700001,2148000,307
2019-05-13,48.5,48.66,47.869999,48.029999,48.029999,1475700,308
2019-05-14,48.150002,48.540001,48.049999,48.439999,48.439999,1146100,309
2019-05-15,49.48,50.080002,49.029999,49.939999,49.939999,2177900,310
2019-05-16,50.919998,52.330002,50.25,52,52,5301500,311
2019-05-17,53.220001,53.610001,52.380001,52.610001,52.610001,3318300,312
2019-05-20,52.540001,52.880001,52.009998,52.200001,52.200001,2019900,313
2019-05-21,51.23,51.23,50.560001,51.029999,51.029999,1451300,314
2019-05-22,50.630001,50.720001,50.369999,50.490002,50.490002,1127800,315
2019-05-23,48.48,48.57,48.130001,48.34,48.34,1894500,316
2019-05-24,48.669998,49.18,48.669998,48.98,48.98,814200,317
2019-05-28,49.709999,49.73,49.09,49.169998,49.169998,879500,318
2019-05-29,48.459999,48.470001,48.009998,48.23,48.23,869600,319
